GUID,model,sku,isbn,image,price,my_purchase_price,default_price,weight,length,width,height,name,description,meta_title,meta_description,category_name
77,P073,P073,6912802040211,catalog/goods-images/P073.jpg,150.0000,75.0000,99.0000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"самолет, льюис, авиация самолет, льюис, авиация, p073",Авиация,"Авиация - ",Авиация
73,PC074,PC074,6912802143035,catalog/goods-images/PC074.jpg,0.0000,0.0000,128.7000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"триплан, (цветной), авиация триплан, авиация, pc074",Авиация,"Авиация - ",Авиация
74,P155,P155,6912802145060,catalog/goods-images/P155.jpg,0.0000,0.0000,235.1300,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"палубный, истребитель, авиация палубный, авиация, p155",Авиация,"Авиация - ",Авиация
75,PC098,PC098,6912802141765,catalog/goods-images/PC098.jpg,0.0000,0.0000,193.0500,0.21000000,18.50000000,0.90000000,23.00000000,Авиация,,"истребитель, (цветной), авиация истребитель, авиация, pc098",Авиация,"Авиация - ",Авиация
76,P072,P072,6937890501765,catalog/goods-images/P072.jpg,210.0000,105.0000,198.0000,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"апачи, авиация апачи, авиация, p072",Авиация,"Авиация - ",Авиация
72,PC073,PC073,6912802142359,catalog/goods-images/PC073.jpg,0.0000,0.0000,128.7000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"самолет, льюис, (цветной), авиация самолет, льюис, авиация, pc073",Авиация,"Авиация - ",Авиация
62,P224,P224,6937890511313,catalog/goods-images/P224.jpg,0.0000,0.0000,237.6000,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"вертолет, ка-28, авиация вертолет, ка-28, авиация, p224",Авиация,"Авиация - ",Авиация
63,P326,P326,6937890516400,catalog/goods-images/P326.jpg,0.0000,0.0000,445.5000,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"истребитель, мессершмитт, bf-109, авиация истребитель, мессершмитт, авиация, p326",Авиация,"Авиация - ",Авиация
64,PC001,PC001,6912802142267,catalog/goods-images/PC001.jpg,0.0000,0.0000,128.7000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"вертолет, (цветной), авиация вертолет, авиация, pc001",Авиация,"Авиация - ",Авиация
65,PC002,PC002,6912802141970,catalog/goods-images/PC002.jpg,0.0000,0.0000,128.7000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"аэроплан, (цветной), авиация аэроплан, авиация, pc002",Авиация,"Авиация - ",Авиация
66,PC007,PC007,6912802142281,catalog/goods-images/PC007.jpg,0.0000,0.0000,128.7000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"боевой, вертолет, (цветной), авиация боевой, вертолет, авиация, pc007",Авиация,"Авиация - ",Авиация
67,PC040,PC040,,catalog/goods-images/PC040.jpg,0.0000,0.0000,193.0500,0.21000000,18.50000000,0.90000000,23.00000000,Авиация,,"самолет, f-16, (цветной), авиация самолет, авиация, pc040",Авиация,"Авиация - ",Авиация
68,PC058,PC058,6912802142335,catalog/goods-images/PC058.jpg,0.0000,0.0000,128.7000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"самолет, хенкель-51, (цветной), авиация самолет, хенкель-51, авиация, pc058",Авиация,"Авиация - ",Авиация
69,PC059,PC059,6912802141727,catalog/goods-images/PC059.jpg,0.0000,0.0000,128.7000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"самолет, альбатрос, дв, (цветной), авиация самолет, альбатрос, дв, авиация, pc059",Авиация,"Авиация - ",Авиация
70,PC060,PC060,6912802141963,catalog/goods-images/PC060.jpg,0.0000,0.0000,128.7000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"самолет, ньюпорт-17, (цветной), авиация самолет, ньюпорт-17, авиация, pc060",Авиация,"Авиация - ",Авиация
71,PC072,PC072,6912802141710,catalog/goods-images/PC072.jpg,0.0000,0.0000,257.4000,0.28000000,18.50000000,1.20000000,23.00000000,Авиация,,"апачи, (цветной), авиация апачи, авиация, pc072",Авиация,"Авиация - ",Авиация
61,P198,P198,6937890509020,catalog/goods-images/P198.jpg,0.0000,0.0000,247.5000,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"спитфайр, авиация спитфайр, авиация, p198",Авиация,"Авиация - ",Авиация
59,P156,P156,6912802145077,catalog/goods-images/P156.jpg,0.0000,0.0000,235.1300,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"многоцелевой, истребитель, авиация многоцелевой, авиация, p156",Авиация,"Авиация - ",Авиация
60,P176,P176,6937890510194,catalog/goods-images/P176.jpg,300.0000,150.0000,198.0000,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"штурмовик, авиация штурмовик, авиация, p176",Авиация,"Авиация - ",Авиация
78,P074,P074,6912802040228,catalog/goods-images/P074.jpg,198.0000,99.0000,99.0000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"триплан, авиация триплан, авиация, p074",Авиация,"Авиация - ",Авиация
79,P084,P084,6912802040570,catalog/goods-images/P084.jpg,0.0000,0.0000,198.0000,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"самолет, f-117, авиация самолет, авиация, p084",Авиация,"Авиация - ",Авиация
80,P098,P098,6912802040341,catalog/goods-images/P098.jpg,0.0000,0.0000,148.5000,0.21000000,18.50000000,0.90000000,23.00000000,Авиация,,"истребитель, тайфун, авиация истребитель, тайфун, авиация, p098",Авиация,"Авиация - ",Авиация
81,P099,P099,6937890501987,catalog/goods-images/P099.jpg,300.0000,150.0000,198.0000,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"черная, акула, авиация черная, акула, авиация, p099",Авиация,"Авиация - ",Авиация
82,P104,P104,6912802143677,catalog/goods-images/P104.jpg,0.0000,0.0000,198.0000,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"бомбардировщик, f-18, хорнет, авиация бомбардировщик, хорнет, авиация, p104",Авиация,"Авиация - ",Авиация
83,P105,P105,6912802040358,catalog/goods-images/P105.jpg,0.0000,0.0000,148.5000,0.21000000,37.00000000,0.60000000,23.00000000,Авиация,,"бомбардировщик, в-2, авиация бомбардировщик, в-2, авиация, p105",Авиация,"Авиация - ",Авиация
84,P107,P107,6912802040242,catalog/goods-images/P107.jpg,0.0000,0.0000,99.0000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"космический, скутер, авиация космический, авиация, p107",Авиация,"Авиация - ",Авиация
85,P121,P121,6912802141352,catalog/goods-images/P121.jpg,0.0000,0.0000,198.0000,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"сверхзвуковой, авиалайнер, авиация сверхзвуковой, авиация, p121",Авиация,"Авиация - ",Авиация
86,P133,P133,6912802141857,catalog/goods-images/P133.jpg,0.0000,0.0000,297.0000,0.42000000,37.00000000,0.90000000,23.00000000,Авиация,,"вертолет, морской, авиация вертолет, авиация, p133",Авиация,"Авиация - ",Авиация
87,P137,P137,6912802142427,catalog/goods-images/P137.jpg,0.0000,0.0000,198.0000,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"истребитель, харриер, авиация истребитель, харриер, авиация, p137",Авиация,"Авиация - ",Авиация
88,P058,P058,6912802040143,catalog/goods-images/P058.jpg,150.0000,75.0000,99.0000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"истребитель, хейнкель, авиация истребитель, хейнкель, авиация, p058",Авиация,"Авиация - ",Авиация
89,P059,P059,6912802040150,catalog/goods-images/P059.jpg,150.0000,75.0000,99.0000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"истребитель, альбатрос, d.i.2, авиация истребитель, альбатрос, авиация, p059",Авиация,"Авиация - ",Авиация
90,P060,P060,6912802040167,catalog/goods-images/P060.jpg,150.0000,75.0000,99.0000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"истребитель, ньюпорт-17, авиация истребитель, ньюпорт-17, авиация, p060",Авиация,"Авиация - ",Авиация
91,P001,P001,6912802040013,catalog/goods-images/P001.jpg,0.0000,0.0000,99.0000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"вертолет, авиация вертолет, авиация, p001",Авиация,"Авиация - ",Авиация
92,P002,P002,6912802040020,catalog/goods-images/warning.png,0.0000,0.0000,99.0000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"биплан, авиация биплан, авиация, p002",Авиация,"Авиация - ",Авиация
93,P003,P003,6912802040037,catalog/goods-images/P003.jpg,0.0000,0.0000,99.0000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"самолет-амфибия, авиация самолет-амфибия, авиация, p003",Авиация,"Авиация - ",Авиация
94,P007,P007,6912802040051,catalog/goods-images/P007.jpg,150.0000,75.0000,99.0000,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"боевой, вертолет, авиация боевой, авиация, p007",Авиация,"Авиация - ",Авиация
95,P039,P039,6912802040495,catalog/goods-images/P039.jpg,0.0000,0.0000,198.0000,0.28000000,37.00000000,0.60000000,23.00000000,Авиация,,"авиалайнер, авиация авиалайнер, авиация, p039",Авиация,"Авиация - ",Авиация
96,P039A,P039A,6912802144599,catalog/goods-images/P039A.jpg,0.0000,0.0000,111.3800,0.14000000,18.50000000,0.60000000,23.00000000,Авиация,,"авиалайнер, (малый), авиация авиалайнер, авиация, p039a",Авиация,"Авиация - ",Авиация
97,P040,P040,6912802040297,catalog/goods-images/P040.jpg,0.0000,0.0000,148.5000,0.21000000,18.50000000,0.90000000,23.00000000,Авиация,,"истребитель, f-16, авиация истребитель, авиация, p040",Авиация,"Авиация - ",Авиация
98,P044,P044,6912802040303,catalog/goods-images/P044.jpg,0.0000,0.0000,148.5000,0.21000000,18.50000000,0.90000000,23.00000000,Авиация,,"истребитель, f-15, авиация истребитель, авиация, p044",Авиация,"Авиация - ",Авиация
99,P054,P054,6912802040525,catalog/goods-images/P054.jpg,0.0000,0.0000,198.0000,0.28000000,18.50000000,1.20000000,23.00000000,Авиация,,"шатл, авиация шатл, авиация, p054",Авиация,"Авиация - ",Авиация
100,P230,P230,6937890511719,catalog/goods-images/P230.jpg,0.0000,0.0000,495.0000,0.56000000,37.00000000,1.20000000,23.00000000,"Телебашня Жемчужина Востока","Сборная деревянная модель ""Телебашня ""Жемчужина Востока"", артикул: P230. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
101,P240,P240,6937890512303,catalog/goods-images/P240.jpg,0.0000,0.0000,990.0000,1.13000000,37.00000000,2.50000000,23.00000000,"Собор Святого Петра","Сборная деревянная модель ""Собор Святого Петра"", артикул: P240. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
102,P241,P241,6937890512563,catalog/goods-images/P241.jpg,0.0000,0.0000,693.0000,0.42000000,37.00000000,1.20000000,23.00000000,"Биг Бен (башня)","Сборная деревянная модель ""Биг Бен (башня)"", артикул: P241. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
103,P247,P247,6937890516431,catalog/goods-images/P247.jpg,0.0000,0.0000,1.0000,1.41000000,37.00000000,3.00000000,23.00000000,"Храм Христа Спасителя","Сборная деревянная модель ""Храм Христа Спасителя"", артикул: P247. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
104,P248,P248,6937890516448,catalog/goods-images/P248.jpg,0.0000,0.0000,1.0000,1.41000000,37.00000000,3.50000000,23.00000000,"Исаакиевский собор","Сборная деревянная модель ""Исаакиев ский собор"", артикул: P248. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
105,PC030,PC030,6912802142977,catalog/goods-images/PC030.jpg,0.0000,0.0000,386.1000,0.42000000,37.00000000,0.90000000,23.00000000,"Эйфелева башня (цветная)","Сборная деревянная цветная модель ""Эйфелева башня (цветная)"", артикул: PC030. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
106,PH024,PH024,6937890509044,catalog/goods-images/PH024.jpg,0.0000,0.0000,495.0000,0.70000000,37.00000000,1.50000000,23.00000000,"Каса Гранде","Сборная деревянная модель ""Каса Гранде"", артикул: PH024. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
107,PH032,PH032,6937890510675,catalog/goods-images/PH032.png,0.0000,0.0000,990.0000,0.77000000,29.00000000,2.40000000,20.00000000,"Русский терем","Сборная деревянная модель "" Русский терем"", артикул: PH032. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
108,PH097,PH097,6937890512327,catalog/goods-images/PH097.jpg,0.0000,0.0000,866.2500,0.56000000,37.00000000,1.90000000,23.00000000,"Спасская Башня","Сборная деревянная модель "" Спасская Башня"", артикул: PH097. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
109,P250,P250,6937890516820,catalog/goods-images/P250.jpg,0.0000,0.0000,1.0000,1.41000000,37.00000000,3.00000000,23.40000000,"Кёльнский собор","Сборная деревянная модель ""Кёльнский собор"", артикул: P250. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
110,P151,P151,6912802145039,catalog/goods-images/P151.jpg,0.0000,0.0000,866.2500,0.99000000,37.00000000,2.10000000,23.00000000,"Собор парижской богоматери","Сборная деревянная модель ""Собор парижской богоматери"", артикул: P151. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
